title,price,rating,reviews,availability
PlayStation 5 Digital Edition - CFI-1102B,Page 1 of 1,4.8 out of 5 stars,834 ratings,Not Available
EA SPORTS College Football 25 - PlayStation 5,$67.73,3.3 out of 5 stars,21 ratings,In Stock
PlayStation DualSense® Wireless Controller - Midnight Black,$69.00,4.7 out of 5 stars,"34,604 ratings",Only 11 left in stock - order soon.
"WD_BLACK 2TB SN850P NVMe M.2 SSD Officially Licensed Storage Expansion for PS5 Consoles, up to 7,300MB/s, with heatsink - WDBBYV0020BNC-WRSN",$199.99,4.8 out of 5 stars,"3,953 ratings",In Stock
$150 PlayStation Store Gift Card [Digital Code],$150.00,4.7 out of 5 stars,"250,198 ratings",Available now
"Game Console Backpack Compatible with Sony PlayStation 5 Console, Protective Travel Carrying Case for PS5 with USB Port for Headset,Game Discs and Accessories",$29.99,4.4 out of 5 stars,3 ratings,In Stock
"Logitech G29 Driving Force Racing Wheel and Floor Pedals, Real Force Feedback, Stainless Steel Paddle Shifters, Leather Steering Wheel Cover for PS5, PS4, PC, Mac - Black",Page 1 of 1,4.6 out of 5 stars,"18,878 ratings",Not Available
PlayStation PULSE Elite Wireless Headset,$149.99,4.0 out of 5 stars,725 ratings,In Stock
PlayStation DualSense Wireless Controller,$69.00,4.7 out of 5 stars,"41,848 ratings",In Stock
"ASSASSIN'S CREED MIRAGE - STANDARD EDITION, PLAYSTATION 5",$32.31,4.5 out of 5 stars,446 ratings,In Stock
"Seagate Game Drive for PS5 5TB External HDD - USB 3.0, Officially Licensed, Blue LED (STLV5000100)",$149.99,4.2 out of 5 stars,204 ratings,In Stock
"BINNUNE Wireless Gaming Headset with Mic for PS5, PS4, PC, Mac, Playstation 4 5 Headphones, 2.4GHz Bluetooth Gaming Headset, Wireless Headsets with Flip Mic for Laptop Computer, Black",$29.99,4.3 out of 5 stars,129 ratings,In Stock
EA SPORTS UFC 5 - PlayStation 5,$39.88,4.7 out of 5 stars,172 ratings,Only 10 left in stock - order soon.
"PS5 Slim Stand and Turbo Cooling Station with Dual Controller Charger Station for Playstation 5, PS5 Console Accessories with 3 Levels Cooling Fan 13-Game Organizer Headset Holder for PS5 Digital/Disc",$16.99,4.1 out of 5 stars,32 ratings,In Stock
"PS5 Controller Charging Station, Playstation 5 Dualsense Controller Charger Dock with Dual Stand, Upgrade PS5 slim Controller Charger Accessory with Fast Charge Cable, PS5 Charging Station, White",$23.99,4.7 out of 5 stars,"2,376 ratings",In Stock
Final Fantasy XVI - PlayStation 5,$29.99,4.7 out of 5 stars,"1,627 ratings",In Stock
"PS5 Slim Cooling Station，Charging Controller，Featuring Three Adjustable Cooling Fan，Compatible with Disc&Digital Editions,It's Playstation 5 Slim Ideal Accessories (White)",$23.99,4.3 out of 5 stars,63 ratings,In Stock
"PS5 Cooling Fans, Playstation 5 Cooling Fan Compatible with PS5 Discs Edition and Digital Edition (NOT for PS5 Slim)",$18.99,4.3 out of 5 stars,"2,326 ratings",In Stock
Nintendo 64 System - Video Game Console (Renewed),$103.02,4.2 out of 5 stars,"1,451 ratings",Only 5 left in stock - order soon.
Sony PlayStation 2 Console - Black (Renewed),$163.99,4.2 out of 5 stars,"1,450 ratings",Only 1 left in stock - order soon.
"Xbox One S 1TB Console (Renewed), White",$214.00,4.2 out of 5 stars,"1,051 ratings",
"PS5 Cooling Stand with Fan, Dual PS5 Controller Charging Station for PS5 Console, Multifunctional PS5 Stand Cooling Station with Controller Charger and 3 USB Hub for PS5 Accessories",$25.99,4.2 out of 5 stars,398 ratings,In Stock
"KIWIHOME Cooling Station for PS5 Accessories, Vertical Stand with RGB for 2020 PS5 Disc & Digital Edition Console, 3-Level Cooling Fan, Dual Controller Charging Stand, 10 Game Slots, Not for PS5 Slim",$39.99,4.3 out of 5 stars,"2,838 ratings",In Stock
"Wireless Gaming Headset, 2.4GHz USB Gaming Headphones for PC PS5 PS4 Mac Switch with Bluetooth 5.2, 100H Battery, ENC Noise Canceling Mic, RGB Light, 3.5mm Wired Jack for Xbox Series",$29.99,4.2 out of 5 stars,184 ratings,In Stock
